timestamp,gpu_index,utilization_gpu_pct,utilization_memory_pct,memory_free_MiB,memory_used_MiB,temperature_gpu,temperature_memory,power_draw_W,pcie_link_width_current
1620407731.238,0,0,0,32510,0,35,32,25.22,16
1620407731.241,1,0,0,32510,0,33,33,25.26,16
1620407731.344,0,0,0,32510,0,35,32,25.23,16
1620407731.347,1,0,0,32510,0,33,33,25.26,16
1620407731.454,0,0,0,32510,0,35,33,25.14,16
1620407731.457,1,0,0,32510,0,33,33,25.17,16
1620407731.56,0,0,0,32510,0,35,32,25.24,16
1620407731.563,1,0,0,32509,1,33,33,25.27,16
1620407731.675,0,0,0,32506,4,35,32,25.22,16
1620407731.678,1,0,0,32506,4,33,33,25.25,16
1620407731.781,0,0,0,32506,4,35,32,25.13,16
1620407731.784,1,0,0,32506,4,33,33,25.25,16
1620407731.896,0,0,0,32506,4,35,32,25.23,16
1620407731.899,1,0,0,32506,4,33,33,25.26,16
1620407732.002,0,0,0,32506,4,35,32,25.31,16
1620407732.005,1,0,0,32506,4,33,33,25.25,16
1620407732.118,0,0,0,32506,4,35,32,25.23,16
1620407732.121,1,0,0,32506,4,33,33,25.26,16
1620407732.224,0,0,0,32506,4,35,32,25.23,16
1620407732.227,1,0,0,32506,4,33,33,25.25,16
1620407732.338,0,0,0,32506,4,35,32,25.22,16
1620407732.341,1,0,0,32506,4,33,33,25.25,16
1620407732.444,0,0,0,32506,4,35,32,25.13,16
1620407732.447,1,0,0,32506,4,33,33,25.25,16
1620407732.559,0,0,0,32506,4,35,32,25.22,16
1620407732.561,1,0,0,32506,4,33,33,25.25,16
1620407732.664,0,0,0,32506,4,35,32,25.12,16
1620407732.667,1,0,0,32506,4,33,33,25.25,16
1620407732.77,0,0,0,32506,4,35,33,25.31,16
1620407732.78,1,0,0,32506,4,33,33,25.25,16
1620407732.883,0,0,0,32506,4,35,33,25.31,16
1620407732.886,1,0,0,32506,4,33,33,25.25,16
1620407732.989,0,0,0,32506,4,35,33,25.12,16
1620407732.993,1,0,0,32506,4,33,33,25.25,16
1620407733.101,0,0,0,32494,16,35,33,25.18,16
1620407733.132,1,0,0,32494,16,33,33,25.24,16
1620407733.243,0,4,0,32201,309,35,32,35.26,16
1620407733.246,1,1,0,32197,313,34,33,37.52,16
1620407733.349,0,4,0,32167,343,35,32,35.73,16
1620407733.351,1,1,0,32153,357,34,33,37.8,16
1620407733.456,0,3,0,32125,385,35,32,35.92,16
1620407733.459,1,6,0,32115,395,34,33,37.8,16
1620407733.562,0,3,0,32089,421,36,32,35.92,16
1620407733.565,1,4,0,32079,431,34,33,37.7,16
1620407733.668,0,5,0,32043,467,36,32,35.92,16
1620407733.67,1,4,0,32037,473,34,33,37.8,16
1620407733.773,0,4,0,1919,30591,36,32,35.8,16
1620407733.778,1,4,0,1919,30591,34,33,37.58,16
1620407733.881,0,4,0,1919,30591,36,32,35.8,16
1620407733.886,1,0,0,1919,30591,34,33,37.87,16
1620407733.989,0,0,0,1919,30591,36,32,35.79,16
1620407733.991,1,0,0,1919,30591,34,33,38.04,16
1620407734.094,0,0,0,1919,30591,36,32,35.9,16
1620407734.099,1,0,0,1919,30591,34,33,37.87,16
1620407734.202,0,0,0,1919,30591,36,32,35.87,16
1620407734.205,1,0,0,1919,30591,34,33,37.94,16
1620407734.308,0,3,0,1919,30591,36,32,36.17,16
1620407734.311,1,3,0,1919,30591,34,33,37.85,16
1620407734.414,0,0,0,1919,30591,36,32,35.87,16
1620407734.417,1,0,0,1919,30591,34,33,37.94,16
1620407734.52,0,0,0,1919,30591,36,33,36.94,16
1620407734.523,1,0,0,1919,30591,34,34,38.04,16
1620407734.626,0,3,0,1919,30591,36,32,35.78,16
1620407734.629,1,3,0,1919,30591,34,33,38.04,16
1620407734.732,0,3,0,1919,30591,36,33,35.87,16
1620407734.735,1,3,0,1919,30591,34,34,37.75,16
1620407734.84,0,3,0,1919,30591,36,32,35.87,16
1620407734.843,1,3,0,1919,30591,34,33,37.85,16
1620407734.945,0,0,0,1919,30591,36,32,35.97,16
1620407734.948,1,0,0,1919,30591,34,34,37.85,16
1620407735.051,0,0,0,1919,30591,36,33,35.88,16
1620407735.054,1,0,0,1919,30591,34,34,37.94,16
1620407735.157,0,0,0,1919,30591,36,33,35.97,16
1620407735.162,1,0,0,1919,30591,34,33,37.85,16
1620407735.265,0,0,0,1919,30591,36,33,35.9,16
1620407735.267,1,0,0,1919,30591,34,33,37.87,16
1620407735.37,0,0,0,1919,30591,36,32,35.89,16
1620407735.373,1,0,0,1919,30591,34,34,37.85,16
